0.0,0.0,2.0,15.0,3.5,4.0
0.15,0.035,2.04,15.201,3.5762,3.7671
0.30201,0.070762,2.0777,15.367,3.5569,3.7367
0.45567,0.10633,2.115,15.049,3.7326,3.7979
0.60617,0.14366,2.153,15.257,3.4421,3.5891
0.75873,0.17808,2.1889,14.813,3.4131,3.4633
0.90687,0.21221,2.2235,15.072,3.687,3.2754
1.0576,0.24908,2.2563,15.15,3.6269,3.2857
1.2091,0.28535,2.2892,14.762,3.4377,3.0782
1.3567,0.31973,2.3199,14.396,3.0787,3.0258
1.5007,0.35051,2.3502,14.181,3.2498,3.0082
1.6425,0.38301,2.3803,14.813,3.0798,2.9258
1.7906,0.41381,2.4095,14.823,2.9406,2.8552
1.9388,0.44321,2.4381,14.598,3.2763,2.647
2.0848,0.47598,2.4646,15.311,3.4793,2.6841
2.2379,0.51077,2.4914,14.783,3.3874,2.501
2.3857,0.54464,2.5164,14.855,3.3092,2.4027
2.5343,0.57774,2.5404,14.707,2.8053,2.3986
2.6814,0.60579,2.5644,14.514,3.1403,2.2756
2.8265,0.63719,2.5872,14.576,2.8229,2.0887
2.9723,0.66542,2.6081,14.659,2.933,1.9755
3.1189,0.69475,2.6278,14.561,3.0682,1.9793
3.2645,0.72543,2.6476,14.471,3.0709,1.8844
3.4092,0.75614,2.6665,14.199,3.3052,1.8151
3.5512,0.78919,2.6846,14.052,3.7224,1.6276
3.6917,0.82642,2.7009,13.975,3.4526,1.6882
3.8314,0.86094,2.7178,13.896,3.56,1.6276
3.9704,0.89654,2.734,13.125,3.4422,1.6522
4.1016,0.93096,2.7506,13.091,3.8397,1.5622
4.2325,0.96936,2.7662,13.018,4.3418,1.2367
4.3627,1.0128,2.7786,13.111,3.9199,1.1846
4.4938,1.052,2.7904,12.935,3.9803,0.99084
4.6232,1.0918,2.8003,13.01,4.2889,0.98473
4.7533,1.1347,2.8102,12.51,4.5397,0.97182
4.8784,1.1801,2.8199,12.517,4.298,0.91389
5.0036,1.223,2.829,12.639,4.5182,0.80169
5.1299,1.2682,2.837,12.788,4.7201,0.60129
5.2578,1.3154,2.843,12.731,4.1824,0.61713
5.3851,1.3573,2.8492,13.263,4.4628,0.26872
5.5178,1.4019,2.8519,13.644,4.3381,0.2031
5.6542,1.4453,2.8539,14.095,4.1826,0.11513
5.7951,1.4871,2.8551,13.865,4.3746,0.047782
5.9338,1.5308,2.8556,13.646,4.3467,-0.016744
6.0703,1.5743,2.8554,13.872,4.2634,-0.071965
6.209,1.6169,2.8547,13.719,4.1813,-0.22699
6.3462,1.6588,2.8524,13.88,4.2445,-0.27544
6.485,1.7012,2.8496,14.181,4.3591,-0.25585
6.6268,1.7448,2.8471,14.032,4.2776,-0.46336
6.7671,1.7876,2.8425,14.471,4.3513,-0.38054
6.9118,1.8311,2.8387,14.125,3.9867,-0.43808
7.0531,1.8709,2.8343,13.923,4.3618,-0.539
7.1923,1.9146,2.8289,14.062,4.3437,-0.74843
7.3329,1.958,2.8214,13.778,4.3892,-0.99788
7.4707,2.0019,2.8114,13.968,4.5845,-1.083
7.6104,2.0477,2.8006,13.999,4.5031,-1.1932
