part,iterations,total time,time per iteration
1,914.4,216.45153280000002,0.23671379890307503
2,529.0,176.57335679999997,0.33378706389413987
3,10.0,3.7855776,0.37855775999999997
4,8.0,7.803177600000001,0.9753972000000001
5,8.6,8.361686399999998,0.9723567111111112
